"STUDENT_ID","GRAD_APPL_DATE","GRADUATION_DATE","GRADUATED_IND","TOTAL_CREDITS","DEGREE_TYPE","MAJOR","DEPARTMENT","COLLEGE","REQUIRED_HOURS","FULLY_ONLINE_IND","AID_ELIGIBLE_IND","HONORS","OVERALL_GPA"
5689742,01-DEC-16  11:45 AM,06-MAY-21  12:00 AM,"N",3,"Associates","Social Work","Social Work","Humanities & Social Sciences",63,"N","N","",0.85
5689742,11-MAY-17  11:52 AM,06-MAY-21  12:00 AM,"N",3,"Associates","Sociology","Sociology","Humanities & Social Sciences",61,"N","N","",0.85
5854067,23-NOV-16  01:06 PM,06-MAY-21  12:00 AM,"N",6,"Associates","Finance and Credit","Finance and Credit","Business",65,"N","Y","",1.133
5158757,19-APR-19  09:12 AM,06-MAY-21  12:00 AM,"N",42,"Certificate","Environmental Sci & Sustain","Biology","Science, Math & Engineering",23,"N","N","",3.971
5818052,30-NOV-16  12:30 PM,06-MAY-21  12:00 AM,"N",7,"Associates","Education","Education, Pre-Teacher","Humanities & Social Sciences",63,"N","N","",4
5855439,13-NOV-17  02:41 PM,06-MAY-21  12:00 AM,"N",13,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",2.892
5855439,17-JAN-17  03:00 PM,06-MAY-21  12:00 AM,"N",13,"Associates","Engr Design/Drafting Tech","Engineering Design/Drafting","Science, Math & Engineering",64,"N","Y","",2.892
5946341,21-NOV-18  12:53 PM,06-MAY-21  12:00 AM,"N",59,"Associates","Business","Business Management","Business",61,"N","N","",2.372
5946341,26-JUL-17  10:35 AM,06-MAY-21  12:00 AM,"N",59,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",2.372
6013471,07-AUG-18  01:29 PM,06-MAY-21  12:00 AM,"N",60,"Associates","Pre-Medical Health Sciences","Biology","Science, Math & Engineering",,"N","N","",3.652
6027086,08-MAY-17  06:38 PM,06-MAY-21  12:00 AM,"N",3,"Associates","Aviation Maintenance","Aviation Tech - Maintenance","Applied Tech &Tech Specialties",88,"N","N","",3.8
5300906,14-DEC-17  12:01 PM,06-MAY-21  12:00 AM,"N",38,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2.639
5392424,15-DEC-16  04:42 PM,06-MAY-21  12:00 AM,"N",45,"Associates","Business","Business Management","Business",61,"N","N","",4
5406900,08-DEC-16  03:42 PM,06-MAY-21  12:00 AM,"N",16,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",3.194
6024300,15-DEC-17  04:15 PM,06-MAY-21  12:00 AM,"N",39,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2.658
6024300,10-APR-19  09:33 AM,06-MAY-21  12:00 AM,"N",39,"Associates","Pre-Medical Health Sciences","Biology","Science, Math & Engineering",,"N","N","",2.658
6029704,21-DEC-16  02:36 PM,06-MAY-21  12:00 AM,"N",41,"Associates","Biology","Biology","Science, Math & Engineering",,"N","N","",3.732
5024763,07-DEC-16  02:04 PM,06-MAY-21  12:00 AM,"N",41,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",3.122
5529561,17-JAN-17  01:38 PM,06-MAY-21  12:00 AM,"N",13,"Associates","Engineering/Mechanical","Unknown","Unknown",73,"U","U","",3.538
5748199,11-DEC-18  06:00 PM,06-MAY-21  12:00 AM,"N",28,"Associates","Education","Education, Pre-Teacher","Humanities & Social Sciences",63,"N","N","",2.939
